Player,Rating,Age,G1,GS1,Cmp1,Att1,Yds1,TD1,Int2,Att2,Yds2,Y/A2,TD2,Tgt3,Rec3,Yds3,Y/R3,TD3,Fmb4,FL4,TD4,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank
Ty Johnson,12.35,24.00,8.00,1.00,0.00,0.00,0.00,0.00,0.00,39.00,137.00,3.51,1.00,29.00,19.00,227.00,11.95,2.00,2.00,1.00,3.00,0.00,0.00,52.00,71.40,78.40,61.90,0.00,39.00,0.00
Noah Fant,18.77,24.00,8.00,8.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,53.00,37.00,320.00,8.65,3.00,0.00,0.00,3.00,0.00,0.00,50.00,87.00,90.00,68.50,0.00,13.00,0.00
Zach Pascal,9.94,27.00,9.00,9.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,50.00,30.00,319.00,10.63,3.00,0.00,0.00,3.00,0.00,0.00,50.00,79.90,82.90,64.90,0.00,46.00,0.00
Devin Singletary,9.47,24.00,8.00,7.00,0.00,0.00,0.00,0.00,0.00,73.00,355.00,4.86,1.00,27.00,21.00,82.00,3.90,0.00,4.00,0.00,1.00,0.00,0.00,50.00,70.70,73.70,60.20,0.00,41.00,0.00
Randall Cobb,9.80,31.00,9.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,28.00,20.00,244.00,12.20,4.00,0.00,0.00,4.00,0.00,0.00,49.00,68.50,71.50,58.50,0.00,49.00,0.00
Mike Davis,15.59,28.00,8.00,5.00,0.00,0.00,0.00,0.00,0.00,84.00,271.00,3.23,1.00,32.00,24.00,115.00,4.79,1.00,2.00,1.00,2.00,0.00,0.00,49.00,72.60,79.60,60.60,0.00,44.00,0.00
Pat Freiermuth,14.98,23.00,8.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,33.00,27.00,245.00,9.07,4.00,0.00,0.00,4.00,0.00,0.00,49.00,75.50,78.50,62.00,0.00,14.00,0.00
Jakobi Meyers,12.01,25.00,9.00,8.00,2.00,2.00,45.00,0.00,0.00,0.00,0.00,0.00,0.00,72.00,46.00,434.00,9.43,0.00,0.00,0.00,0.00,2.00,0.00,49.00,95.20,98.20,72.20,0.00,48.00,0.00
Nyheim Hines,11.98,25.00,9.00,1.00,0.00,0.00,0.00,0.00,0.00,41.00,191.00,4.66,2.00,35.00,24.00,187.00,7.79,0.00,1.00,1.00,2.00,0.00,0.00,48.00,71.80,78.80,59.80,0.00,45.00,0.00
David Njoku,12.19,25.00,9.00,6.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,27.00,21.00,341.00,16.24,2.00,0.00,0.00,2.00,0.00,0.00,46.00,67.10,70.10,56.60,0.00,15.00,0.00
Mo Alie-Cox,10.80,28.00,9.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,26.00,14.00,205.00,14.64,4.00,0.00,0.00,4.00,0.00,0.00,45.00,58.50,61.50,51.50,0.00,17.00,0.00
Jared Cook,15.80,34.00,8.00,6.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,42.00,27.00,308.00,11.41,2.00,0.00,0.00,2.00,1.00,0.00,45.00,71.80,74.80,58.30,0.00,16.00,0.00
Tyler Higbee,17.16,28.00,9.00,9.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,46.00,35.00,324.00,9.26,2.00,1.00,0.00,2.00,0.00,0.00,44.00,79.40,82.40,61.90,0.00,18.00,0.00
Mecole Hardman,13.66,23.00,9.00,7.00,0.00,0.00,0.00,0.00,0.00,4.00,33.00,8.25,0.00,53.00,38.00,372.00,9.79,1.00,3.00,2.00,1.00,0.00,0.00,43.00,80.50,85.50,61.50,0.00,57.00,0.00
Elijah Moore,13.02,21.00,7.00,3.00,0.00,0.00,0.00,0.00,0.00,2.00,23.00,11.50,1.00,40.00,22.00,230.00,10.45,2.00,0.00,0.00,3.00,0.00,0.00,43.00,65.30,68.30,54.30,0.00,56.00,0.00
Sony Michel,10.05,26.00,9.00,1.00,0.00,0.00,0.00,0.00,0.00,72.00,271.00,3.76,1.00,10.00,8.00,40.00,5.00,1.00,1.00,1.00,2.00,0.00,0.00,41.00,49.10,53.10,45.10,0.00,53.00,0.00
Tyler Conklin,13.85,26.00,8.00,6.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,44.00,32.00,342.00,10.69,1.00,0.00,0.00,1.00,0.00,0.00,40.00,72.20,75.20,56.20,0.00,20.00,0.00
Allen Robinson,12.15,28.00,9.00,9.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,50.00,30.00,339.00,11.30,1.00,0.00,0.00,1.00,0.00,0.00,40.00,69.90,72.90,54.90,0.00,60.00,0.00
George Kittle,19.29,28.00,5.00,5.00,0.00,0.00,0.00,0.00,0.00,1.00,9.00,9.00,0.00,36.00,25.00,328.00,13.12,1.00,2.00,1.00,1.00,0.00,0.00,38.00,62.70,66.70,50.20,0.00,21.00,0.00
Brandon Aiyuk,12.30,23.00,8.00,7.00,0.00,0.00,0.00,0.00,0.00,3.00,9.00,3.00,0.00,31.00,19.00,230.00,12.11,2.00,1.00,1.00,2.00,1.00,0.00,36.00,54.90,58.90,45.40,0.00,68.00,0.00
Giovani Bernard,9.25,30.00,7.00,0.00,0.00,0.00,0.00,0.00,0.00,6.00,51.00,8.50,0.00,23.00,20.00,109.00,5.45,3.00,1.00,0.00,3.00,0.00,0.00,34.00,54.00,57.00,44.00,0.00,58.00,0.00
Julio Jones,9.81,32.00,6.00,6.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,31.00,21.00,336.00,16.00,0.00,0.00,0.00,0.00,0.00,0.00,34.00,54.60,57.60,44.10,0.00,72.00,0.00
Jamison Crowder,9.36,28.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,37.00,28.00,241.00,8.61,1.00,1.00,1.00,1.00,1.00,1.00,32.00,60.10,64.10,46.10,0.00,75.00,0.00
Evan Engram,11.59,27.00,7.00,6.00,0.00,0.00,0.00,0.00,0.00,1.00,-3.00,-3.00,0.00,36.00,26.00,224.00,8.62,2.00,1.00,1.00,2.00,0.00,0.00,32.00,58.10,62.10,45.10,0.00,23.00,0.00
Ricky Seals-Jones,9.87,26.00,8.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,31.00,20.00,200.00,10.00,2.00,0.00,0.00,2.00,0.00,0.00,32.00,52.00,55.00,42.00,0.00,24.00,0.00
Robert Tonyan,11.62,27.00,8.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,29.00,18.00,204.00,11.33,2.00,0.00,0.00,2.00,0.00,0.00,32.00,50.40,53.40,41.40,0.00,22.00,0.00
Jordan Howard,9.50,27.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,29.00,128.00,4.41,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,0.00,0.00,31.00,30.80,33.80,30.80,0.00,63.00,0.00
